No,スキル名,カテゴリ
1,ピッキング,基礎
2,パワーコード,基礎
3,ローコード,基礎
4,コードチェンジ,基礎
5,単音リフ,基礎
6,8ビート,リズム・バッキング
7,16ビート,リズム・バッキング
8,左手ミュート,リズム・バッキング
9,ブリッジミュート,リズム・バッキング
10,オクターブ奏法,リード・テクニック
11,チョーキング,リード・テクニック
12,ハンマリング・プリング,リード・テクニック
13,レガート,リード・テクニック
14,ブルースフレーズ,ジャンル・語彙
15,ペンタ,リード・テクニック
16,シャッフル,基礎
17,ギターソロ,リード・テクニック
18,高速フレーズ,リード・テクニック
19,オルタネイト,リード・テクニック
20,コードワーク,リズム・バッキング
21,コードカッティング,リズム・バッキング
22,単音カッティング,リズム・バッキング
23,アンサンブル,アンサンブル・音作り
24,歌伴,リズム・バッキング
25,歪み,アンサンブル・音作り
26,ハイゲイン,アンサンブル・音作り
27,空間系,アンサンブル・音作り
28,ドロップD,アンサンブル・音作り
29,バレーコード,基礎
30,アルペジオ,リズム・バッキング
31,セッション,アンサンブル・音作り
32,フュージョン,ジャンル・語彙
33,ジミヘンコード,ジャンル・語彙
34,テンポキープ,リズム・バッキング
35,コードストローク,リズム・バッキング
36,R&B,ジャンル・語彙
37,アクセント,リズム・バッキング
38,アドリブ,リード・テクニック
39,オクターブ,リード・テクニック
40,キメ,リズム・バッキング
41,クリシェ,基礎
42,ジャズ,ジャンル・語彙
43,テンションコード,基礎
44,ハードロック,ジャンル・語彙
45,バラード伴奏,リズム・バッキング
46,バンド入門,アンサンブル・音作り
47,ファンク,ジャンル・語彙
48,ブルース,ジャンル・語彙
49,ミュート,リズム・バッキング
50,リード,リード・テクニック
51,リズムギター,リズム・バッキング
52,ロックンロール,ジャンル・語彙
53,右手アクセント,リズム・バッキング
54,音量コントロール,アンサンブル・音作り
55,開放弦,基礎
56,開放弦アルペジオ,リズム・バッキング
57,休符,リズム・バッキング
58,高速リズム,リード・テクニック
59,高速リフ,リード・テクニック
60,高速単音,リード・テクニック
61,左手フォーム,基礎
62,持久力,リズム・バッキング
63,単音フレーズ,リード・テクニック
64,低音リフ,基礎
65,付点8分ディレイ,アンサンブル・音作り
66,邦ロック定番,ジャンル・語彙
67,民族音楽系フレーズ,ジャンル・語彙
